"","freq","freq.1"
"Arnqvuist, 1996",3,3
"Beasley 2013",4,2
"Beauchamp 2008",56,56
"Bender, 1998",9,9
"Blackburn 2009",39,26
"Castellanos, 2012",1,1
"Constantini, 2009",3,3
"Endara, 2011",75,32
"Garamszegi 2012",10,10
"Leung & Forbes, 1986",15,5
"Mautz, 2013",17,4
"Moller & Ninni, 1998",26,16
"Moller & Thornhill, 1997",12,12
"Shafer 2013",307,212
"Watson, 2013",6,6
